;Model1;Model2;Model3;Model4;
Mutant1;OCL1 ;OCL1 ;OCL1 ;OCL1 OCL21 ;
Mutant2;OCL2 ;OCL2 ;OCL2 ;OCL2 ;
Mutant3;OCL7 ;OCL7 ;OCL7 ;OCL7 OCL21 ;
Mutant4;OCL8 ;OCL8 ;OCL8 OCL21 ;OCL8 OCL21 ;
Mutant5;;;OCL21 ;;
Mutant6;OCL4 ;OCL4 ;OCL4 ;OCL4 ;
Mutant7;OCL4 ;OCL4 ;OCL4 ;OCL4 OCL21 ;
Mutant8;OCL4 ;OCL4 ;OCL4 ;OCL4 ;
Mutant9;OCL4 ;OCL4 ;OCL4 OCL21 ;OCL4 ;
Mutant10;OCL4 ;OCL4 ;OCL4 ;OCL4 ;
Mutant11;;;OCL21 ;OCL21 ;
Mutant12;;;OCL21 ;OCL21 ;
Mutant13;OCL4 ;OCL4 ;OCL4 OCL21 ;OCL4 OCL21 ;
Mutant14;OCL3 ;OCL3 ;OCL3 OCL21 ;OCL3 ;
Mutant15;;;;;
Mutant16;;;;;
Mutant17;OCL21 ;;OCL21 ;OCL21 ;
