;Model1;Model2;Model3;
Mutant1;OCL10 ;OCL10 ;OCL10 ;
Mutant2;OCL13 OCL14 ;OCL13 OCL14 ;OCL13 OCL14 ;
Mutant3;OCL3 OCL8 OCL11 OCL12 ;;OCL3 OCL8 OCL11 OCL12 ;
Mutant4;OCL4 OCL6 ;OCL4 OCL6 ;OCL4 OCL6 ;
Mutant5;OCL12 ;;OCL12 ;
Mutant6;OCL1 OCL2 OCL3 OCL4 OCL5 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL1 OCL2 OCL3 OCL4 OCL5 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL1 OCL2 OCL3 OCL4 OCL5 OCL8 OCL9 OCL10 OCL11 OCL12 ;
Mutant7;OCL3 OCL4 OCL8 OCL11 OCL12 ;;OCL3 OCL4 OCL8 OCL11 OCL12 ;
Mutant8;OCL4 OCL13 ;OCL4 OCL13 ;OCL4 OCL13 ;
Mutant9;OCL3 OCL4 OCL7 OCL9 ;OCL3 OCL4 OCL7 OCL9 ;OCL3 OCL4 OCL7 OCL9 ;
Mutant10;OCL1 OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL1 OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL1 OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;
Mutant11;OCL8 OCL11 OCL12 OCL14 ;;OCL8 OCL11 OCL12 OCL14 ;
Mutant12;OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL9 OCL10 ;OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;
Mutant13;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;
Mutant14;OCL3 OCL9 OCL12 ;OCL3 OCL9 ;OCL3 OCL9 OCL12 ;
Mutant15;OCL2 OCL3 OCL4 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL2 OCL3 OCL4 OCL8 OCL9 OCL10 OCL11 OCL12 ;
Mutant16;OCL9 OCL10 ;OCL9 OCL10 ;OCL9 OCL10 ;
Mutant17;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 ;
Mutant18;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;OCL2 OCL3 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 ;
